state,year,yield_bu_acre
KANSAS,2007,33.0
KANSAS,2008,40.0
KANSAS,2009,42.0
KANSAS,2010,45.0
KANSAS,2011,35.0
KANSAS,2012,42.0
KANSAS,2013,38.0
KANSAS,2014,28.0
KANSAS,2015,37.0
KANSAS,2016,57.0
KANSAS,2017,48.0
KANSAS,2018,38.0
KANSAS,2019,52.0
KANSAS,2020,45.0
KANSAS,2021,52.0
KANSAS,2022,37.0
KANSAS,2023,35.0
KANSAS,2024,43.0
KENTUCKY,2000,57.0
KENTUCKY,2001,66.0
KENTUCKY,2002,52.0
KENTUCKY,2003,62.0
KENTUCKY,2004,54.0
KENTUCKY,2005,68.0
KENTUCKY,2006,71.0
KENTUCKY,2007,48.0
KENTUCKY,2008,71.0
KENTUCKY,2009,57.0
KENTUCKY,2010,66.0
KENTUCKY,2011,70.0
KENTUCKY,2012,63.0
KENTUCKY,2013,75.0
KENTUCKY,2014,71.0
KENTUCKY,2015,73.0
KENTUCKY,2016,80.0
KENTUCKY,2017,77.0
KENTUCKY,2018,66.0
KENTUCKY,2019,76.0
KENTUCKY,2020,63.0
KENTUCKY,2021,87.0
KENTUCKY,2022,80.0
KENTUCKY,2023,88.0
KENTUCKY,2024,75.0
MARYLAND,2000,63.0
MARYLAND,2001,63.0
MARYLAND,2002,66.0
MARYLAND,2003,37.0
MARYLAND,2004,59.0
MARYLAND,2005,66.0
MARYLAND,2006,67.0
MARYLAND,2007,66.0
MARYLAND,2008,73.0
MARYLAND,2009,59.0
MARYLAND,2010,60.0
MARYLAND,2011,67.0
MARYLAND,2012,68.0
MARYLAND,2013,67.0
MARYLAND,2014,70.0
MARYLAND,2015,64.0
MARYLAND,2016,64.0
MARYLAND,2017,71.0
MARYLAND,2018,63.0
MARYLAND,2019,75.0
MARYLAND,2020,73.0
MARYLAND,2021,79.0
MARYLAND,2022,78.0
MARYLAND,2023,85.0
MARYLAND,2024,75.0
MICHIGAN,2000,72.0
MICHIGAN,2001,64.0
MICHIGAN,2002,67.0
MICHIGAN,2003,68.0
MICHIGAN,2004,64.0
MICHIGAN,2005,66.0
MICHIGAN,2006,73.0
MICHIGAN,2007,65.0
MICHIGAN,2008,68.0
MICHIGAN,2009,68.0
MICHIGAN,2010,70.0
MICHIGAN,2011,75.0
MICHIGAN,2012,76.0
MICHIGAN,2013,75.0
MICHIGAN,2014,74.0
MICHIGAN,2015,81.0
MICHIGAN,2016,89.0
MICHIGAN,2017,79.0
MICHIGAN,2018,76.0
MICHIGAN,2019,71.0
MICHIGAN,2020,75.0
MICHIGAN,2021,81.0
MICHIGAN,2022,83.0
MICHIGAN,2023,83.0
MICHIGAN,2024,87.0
MISSISSIPPI,2000,55.0
MISSISSIPPI,2001,52.0
MISSISSIPPI,2002,40.0
MISSISSIPPI,2003,49.0
MISSISSIPPI,2004,53.0
MISSISSIPPI,2005,50.0
MISSISSIPPI,2006,59.0
MISSISSIPPI,2007,56.0
MISSISSIPPI,2008,62.0
MISSISSIPPI,2009,50.0
MISSISSIPPI,2010,47.0
MISSISSIPPI,2011,64.0
MISSISSIPPI,2012,57.0
MISSISSIPPI,2013,58.0
MISSISSIPPI,2014,58.0
MISSISSIPPI,2015,48.0
MISSISSIPPI,2016,48.0
MISSISSIPPI,2017,58.0
MISSISSIPPI,2018,49.0
MISSISSIPPI,2019,47.0
MISSISSIPPI,2020,48.0
MISSISSIPPI,2021,59.0
MISSISSIPPI,2022,52.0
MISSISSIPPI,2023,52.0
MISSISSIPPI,2024,50.0
MISSOURI,2000,52.0
MISSOURI,2001,54.0
MISSOURI,2002,44.0
MISSOURI,2003,61.0
MISSOURI,2004,52.0
MISSOURI,2005,53.0
MISSOURI,2006,54.0
MISSOURI,2007,43.0
MISSOURI,2008,48.0
MISSOURI,2009,47.0
MISSOURI,2010,46.0
MISSOURI,2011,50.0
MISSOURI,2012,58.0
MISSOURI,2013,57.0
MISSOURI,2014,58.0
MISSOURI,2015,53.0
MISSOURI,2016,70.0
MISSOURI,2017,68.0
MISSOURI,2018,59.0
MISSOURI,2019,63.0
MISSOURI,2020,62.0
MISSOURI,2021,65.0
MISSOURI,2022,60.0
MISSOURI,2023,70.0
MISSOURI,2024,75.0
MONTANA,2000,33.0
MONTANA,2001,22.0
MONTANA,2002,28.0
MONTANA,2003,37.0
MONTANA,2004,41.0
MONTANA,2005,45.0
MONTANA,2006,43.0
MONTANA,2007,38.0
MONTANA,2008,39.0
MONTANA,2009,37.0
MONTANA,2010,49.0
MONTANA,2011,41.0
MONTANA,2012,39.0
MONTANA,2013,43.0
MONTANA,2014,41.0
MONTANA,2015,41.0
MONTANA,2016,49.0
MONTANA,2017,42.0
MONTANA,2018,50.0
MONTANA,2019,50.0
MONTANA,2020,51.0
MONTANA,2021,31.0
MONTANA,2022,33.0
MONTANA,2023,51.0
MONTANA,2024,50.0
NEBRASKA,2000,36.0
NEBRASKA,2001,37.0
NEBRASKA,2002,33.0
NEBRASKA,2003,46.0
NEBRASKA,2004,37.0
NEBRASKA,2005,39.0
NEBRASKA,2006,36.0
NEBRASKA,2007,43.0
NEBRASKA,2008,44.0
NEBRASKA,2009,48.0
NEBRASKA,2010,43.0
NEBRASKA,2011,45.0
NEBRASKA,2012,41.0
NEBRASKA,2013,35.0
NEBRASKA,2014,49.0
NEBRASKA,2015,38.0
NEBRASKA,2016,54.0
NEBRASKA,2017,46.0
NEBRASKA,2018,49.0
NEBRASKA,2019,57.0
NEBRASKA,2020,41.0
NEBRASKA,2021,49.0
NEBRASKA,2022,32.0
NEBRASKA,2023,42.0
NEBRASKA,2024,52.0
NEW MEXICO,2000,24.0
NEW MEXICO,2001,34.0
NEW MEXICO,2002,26.0
NEW MEXICO,2003,32.0
NEW MEXICO,2004,28.0
NEW MEXICO,2005,38.0
NEW MEXICO,2006,34.0
NEW MEXICO,2007,28.0
NEW MEXICO,2008,31.0
NEW MEXICO,2009,20.0
NEW MEXICO,2010,28.0
NEW MEXICO,2011,21.0
NEW MEXICO,2012,27.0
NEW MEXICO,2013,44.0
NEW MEXICO,2014,28.0
NEW MEXICO,2015,25.0
NEW MEXICO,2016,22.0
NEW MEXICO,2017,30.0
NEW MEXICO,2018,15.0
NEW MEXICO,2019,30.0
NEW MEXICO,2020,28.0
NEW MEXICO,2021,36.0
NEW MEXICO,2022,17.0
NEW MEXICO,2023,11.0
NEW MEXICO,2024,12.0
NEW YORK,2000,53.0
NEW YORK,2001,53.0
NEW YORK,2002,58.0
NEW YORK,2003,53.0
NEW YORK,2004,53.0
NEW YORK,2005,54.0
NEW YORK,2006,61.0
NEW YORK,2007,53.0
NEW YORK,2008,63.0
NEW YORK,2009,65.0
NEW YORK,2010,67.0
NEW YORK,2011,55.0
NEW YORK,2012,63.0
NEW YORK,2013,68.0
NEW YORK,2014,63.0
NEW YORK,2015,63.0
NEW YORK,2016,74.0
NEW YORK,2017,67.0
NEW YORK,2018,69.0
NEW YORK,2019,63.0
NEW YORK,2020,66.0
NEW YORK,2021,77.0
NEW YORK,2022,72.0
NEW YORK,2023,81.0
NEW YORK,2024,75.0
NORTH CAROLINA,2000,50.0
NORTH CAROLINA,2001,39.0
NORTH CAROLINA,2002,42.0
NORTH CAROLINA,2003,36.0
NORTH CAROLINA,2004,50.0
NORTH CAROLINA,2005,57.0
NORTH CAROLINA,2006,59.0
NORTH CAROLINA,2007,40.0
NORTH CAROLINA,2008,60.0
NORTH CAROLINA,2009,49.0
NORTH CAROLINA,2010,38.0
NORTH CAROLINA,2011,68.0
NORTH CAROLINA,2012,57.0
NORTH CAROLINA,2013,57.0
NORTH CAROLINA,2014,58.0
NORTH CAROLINA,2015,53.0
NORTH CAROLINA,2016,41.0
NORTH CAROLINA,2017,55.0
NORTH CAROLINA,2018,57.0
NORTH CAROLINA,2019,56.0
NORTH CAROLINA,2020,60.0
NORTH CAROLINA,2021,56.0
NORTH CAROLINA,2022,64.0
NORTH CAROLINA,2023,70.0
NORTH CAROLINA,2024,57.0
NORTH DAKOTA,2000,45.0
NORTH DAKOTA,2001,40.0
NORTH DAKOTA,2002,33.0
NORTH DAKOTA,2003,48.0
NORTH DAKOTA,2004,43.0
NORTH DAKOTA,2005,38.0
NORTH DAKOTA,2006,43.0
NORTH DAKOTA,2007,49.0
NORTH DAKOTA,2008,41.0
NORTH DAKOTA,2009,48.0
NORTH DAKOTA,2010,55.0
NORTH DAKOTA,2011,37.0
NORTH DAKOTA,2012,56.0
NORTH DAKOTA,2013,43.0
NORTH DAKOTA,2014,49.0
NORTH DAKOTA,2015,44.0
NORTH DAKOTA,2016,48.0
NORTH DAKOTA,2017,37.0
NORTH DAKOTA,2018,43.0
NORTH DAKOTA,2019,53.0
NORTH DAKOTA,2020,49.0
NORTH DAKOTA,2021,33.0
NORTH DAKOTA,2022,60.0
NORTH DAKOTA,2023,56.0
NORTH DAKOTA,2024,54.0
OHIO,2000,72.0
OHIO,2001,67.0
OHIO,2002,62.0
OHIO,2003,68.0
OHIO,2004,62.0
OHIO,2005,71.0
OHIO,2006,68.0
OHIO,2007,61.0
OHIO,2008,67.0
OHIO,2009,71.0
OHIO,2010,61.0
OHIO,2011,57.0
OHIO,2012,68.0
OHIO,2013,70.0
OHIO,2014,74.0
OHIO,2015,67.0
OHIO,2016,80.0
OHIO,2017,74.0
OHIO,2018,75.0
OHIO,2019,56.0
OHIO,2020,71.0
OHIO,2021,85.0
OHIO,2022,79.0
OHIO,2023,90.0
OHIO,2024,85.0
OKLAHOMA,2000,34.0
OKLAHOMA,2001,33.0
OKLAHOMA,2002,28.0
OKLAHOMA,2003,39.0
OKLAHOMA,2004,35.0
OKLAHOMA,2005,32.0
OKLAHOMA,2006,24.0
OKLAHOMA,2007,28.0
OKLAHOMA,2008,37.0
OKLAHOMA,2009,22.0
OKLAHOMA,2010,31.0
OKLAHOMA,2011,23.0
OKLAHOMA,2012,36.0
OKLAHOMA,2013,31.0
OKLAHOMA,2014,17.0
OKLAHOMA,2015,26.0
OKLAHOMA,2016,39.0
OKLAHOMA,2017,34.0
OKLAHOMA,2018,28.0
OKLAHOMA,2019,40.0
OKLAHOMA,2020,40.0
OKLAHOMA,2021,39.0
OKLAHOMA,2022,28.0
OKLAHOMA,2023,28.0
OKLAHOMA,2024,38.0
OREGON,2000,62.0
OREGON,2001,40.0
OREGON,2002,42.0
OREGON,2003,51.0
OREGON,2004,61.0
OREGON,2005,61.0
OREGON,2006,52.0
OREGON,2007,53.0
OREGON,2008,57.0
OREGON,2009,56.0
OREGON,2010,67.0
OREGON,2011,77.0
OREGON,2012,66.0
OREGON,2013,62.0
OREGON,2014,55.0
OREGON,2015,47.0
OREGON,2016,50.0
OREGON,2017,63.0
OREGON,2018,67.0
OREGON,2019,68.0
OREGON,2020,64.0
OREGON,2021,45.0
OREGON,2022,68.0
OREGON,2023,56.0
OREGON,2024,70.0
PENNSYLVANIA,2000,53.0
PENNSYLVANIA,2001,52.0
PENNSYLVANIA,2002,53.0
PENNSYLVANIA,2003,43.0
PENNSYLVANIA,2004,49.0
PENNSYLVANIA,2005,54.0
PENNSYLVANIA,2006,59.0
PENNSYLVANIA,2007,58.0
PENNSYLVANIA,2008,64.0
PENNSYLVANIA,2009,56.0
PENNSYLVANIA,2010,59.0
PENNSYLVANIA,2011,51.0
PENNSYLVANIA,2012,65.0
PENNSYLVANIA,2013,68.0
PENNSYLVANIA,2014,65.0
PENNSYLVANIA,2015,65.0
PENNSYLVANIA,2016,68.0
PENNSYLVANIA,2017,72.0
PENNSYLVANIA,2018,65.0
PENNSYLVANIA,2019,73.0
PENNSYLVANIA,2020,71.0
PENNSYLVANIA,2021,77.0
PENNSYLVANIA,2022,73.0
PENNSYLVANIA,2023,76.0
PENNSYLVANIA,2024,75.0
SOUTH CAROLINA,2000,49.0
SOUTH CAROLINA,2001,43.0
SOUTH CAROLINA,2002,37.0
SOUTH CAROLINA,2003,39.0
SOUTH CAROLINA,2004,44.0
SOUTH CAROLINA,2005,51.0
SOUTH CAROLINA,2006,50.0
SOUTH CAROLINA,2007,30.0
SOUTH CAROLINA,2008,54.0
SOUTH CAROLINA,2009,47.0
SOUTH CAROLINA,2010,36.0
SOUTH CAROLINA,2011,60.0
SOUTH CAROLINA,2012,53.0
SOUTH CAROLINA,2013,54.0
SOUTH CAROLINA,2014,52.0
SOUTH CAROLINA,2015,46.0
SOUTH CAROLINA,2016,43.0
SOUTH CAROLINA,2017,49.0
SOUTH CAROLINA,2018,54.0
SOUTH CAROLINA,2019,48.0
SOUTH CAROLINA,2020,51.0
SOUTH CAROLINA,2021,53.0
SOUTH CAROLINA,2022,57.0
SOUTH CAROLINA,2023,58.0
SOUTH CAROLINA,2024,54.0
SOUTH DAKOTA,2000,42.0
SOUTH DAKOTA,2001,32.0
SOUTH DAKOTA,2002,30.0
SOUTH DAKOTA,2003,43.0
SOUTH DAKOTA,2004,45.0
SOUTH DAKOTA,2005,44.0
SOUTH DAKOTA,2006,36.0
SOUTH DAKOTA,2007,46.0
SOUTH DAKOTA,2008,55.0
SOUTH DAKOTA,2009,41.0
SOUTH DAKOTA,2010,49.0
SOUTH DAKOTA,2011,42.0
SOUTH DAKOTA,2012,50.0
SOUTH DAKOTA,2013,39.0
SOUTH DAKOTA,2014,55.0
SOUTH DAKOTA,2015,44.0
SOUTH DAKOTA,2016,58.0
SOUTH DAKOTA,2017,40.0
SOUTH DAKOTA,2018,48.0
SOUTH DAKOTA,2019,52.0
SOUTH DAKOTA,2020,58.0
SOUTH DAKOTA,2021,38.0
SOUTH DAKOTA,2022,52.0
SOUTH DAKOTA,2023,47.0
SOUTH DAKOTA,2024,63.0
TENNESSEE,2000,55.0
TENNESSEE,2001,54.0
TENNESSEE,2002,47.0
TENNESSEE,2003,50.0
TENNESSEE,2004,49.0
TENNESSEE,2005,56.0
TENNESSEE,2006,64.0
TENNESSEE,2007,41.0
TENNESSEE,2008,63.0
TENNESSEE,2009,50.0
TENNESSEE,2010,53.0
TENNESSEE,2011,68.0
TENNESSEE,2012,63.0
TENNESSEE,2013,71.0
TENNESSEE,2014,66.0
TENNESSEE,2015,68.0
TENNESSEE,2016,73.0
TENNESSEE,2017,70.0
TENNESSEE,2018,65.0
TENNESSEE,2019,67.0
TENNESSEE,2020,59.0
TENNESSEE,2021,71.0
TENNESSEE,2022,73.0
TENNESSEE,2023,80.0
TENNESSEE,2024,75.0
TEXAS,2000,30.0
TEXAS,2001,34.0
TEXAS,2002,29.0
TEXAS,2003,28.0
TEXAS,2004,31.0
TEXAS,2005,32.0
TEXAS,2006,24.0
TEXAS,2007,37.0
TEXAS,2008,30.0
TEXAS,2009,25.0
TEXAS,2010,33.0
TEXAS,2011,25.0
TEXAS,2012,33.0
TEXAS,2013,29.0
TEXAS,2014,30.0
TEXAS,2015,30.0
TEXAS,2016,32.0
TEXAS,2017,29.0
TEXAS,2018,32.0
TEXAS,2019,34.0
TEXAS,2020,30.0
TEXAS,2021,37.0
TEXAS,2022,30.0
TEXAS,2023,37.0
TEXAS,2024,31.0
UTAH,2000,40.0
UTAH,2001,42.0
UTAH,2002,32.0
UTAH,2003,41.0
UTAH,2004,43.0
UTAH,2005,47.0
UTAH,2006,45.0
UTAH,2007,42.0
UTAH,2008,41.0
UTAH,2009,50.0
UTAH,2010,48.0
UTAH,2011,50.0
UTAH,2012,47.0
UTAH,2013,44.0
UTAH,2014,50.0
UTAH,2015,48.0
UTAH,2016,60.0
UTAH,2017,52.0
UTAH,2018,52.0
UTAH,2019,54.0
UTAH,2020,53.0
UTAH,2021,46.0
UTAH,2022,36.0
UTAH,2023,53.0
UTAH,2024,49.0
VIRGINIA,2000,63.0
VIRGINIA,2001,60.0
VIRGINIA,2002,61.0
VIRGINIA,2003,46.0
VIRGINIA,2004,55.0
VIRGINIA,2005,63.0
VIRGINIA,2006,68.0
VIRGINIA,2007,64.0
VIRGINIA,2008,71.0
VIRGINIA,2009,58.0
VIRGINIA,2010,51.0
VIRGINIA,2011,71.0
VIRGINIA,2012,64.0
VIRGINIA,2013,62.0
VIRGINIA,2014,68.0
VIRGINIA,2015,66.0
VIRGINIA,2016,53.0
VIRGINIA,2017,66.0
VIRGINIA,2018,60.0
VIRGINIA,2019,62.0
VIRGINIA,2020,60.0
VIRGINIA,2021,67.0
VIRGINIA,2022,68.0
VIRGINIA,2023,78.0
VIRGINIA,2024,66.0
WASHINGTON,2000,73.0
WASHINGTON,2001,61.0
WASHINGTON,2002,58.0
WASHINGTON,2003,65.0
WASHINGTON,2004,67.0
WASHINGTON,2005,67.0
WASHINGTON,2006,65.0
WASHINGTON,2007,62.0
WASHINGTON,2008,56.0
WASHINGTON,2009,58.0
WASHINGTON,2010,69.0
WASHINGTON,2011,74.0
WASHINGTON,2012,70.0
WASHINGTON,2013,69.0
WASHINGTON,2014,52.0
WASHINGTON,2015,56.0
WASHINGTON,2016,78.0
WASHINGTON,2017,73.0
WASHINGTON,2018,76.0
WASHINGTON,2019,70.0
WASHINGTON,2020,76.0
WASHINGTON,2021,42.0
WASHINGTON,2022,68.0
WASHINGTON,2023,54.0
WASHINGTON,2024,70.0
WISCONSIN,2000,62.0
WISCONSIN,2001,65.0
WISCONSIN,2002,61.0
WISCONSIN,2003,69.0
WISCONSIN,2004,56.0
WISCONSIN,2005,57.0
WISCONSIN,2006,78.0
WISCONSIN,2007,68.0
WISCONSIN,2008,66.0
WISCONSIN,2009,68.0
WISCONSIN,2010,64.0
WISCONSIN,2011,65.0
WISCONSIN,2012,75.0
WISCONSIN,2013,58.0
WISCONSIN,2014,65.0
WISCONSIN,2015,74.0
WISCONSIN,2016,79.0
WISCONSIN,2017,68.0
WISCONSIN,2018,71.0
WISCONSIN,2019,64.0
WISCONSIN,2020,69.0
WISCONSIN,2021,75.0
WISCONSIN,2022,78.0
WISCONSIN,2023,76.0
WISCONSIN,2024,82.0
WYOMING,2000,24.0
WYOMING,2001,24.0
WYOMING,2002,19.0
WYOMING,2003,27.0
WYOMING,2004,26.0
WYOMING,2005,30.0
WYOMING,2006,27.0
WYOMING,2007,25.0
WYOMING,2008,29.0
WYOMING,2009,38.0
WYOMING,2010,32.0
WYOMING,2011,34.0
WYOMING,2012,26.0
WYOMING,2013,24.0
WYOMING,2014,38.0
WYOMING,2015,32.0
WYOMING,2016,34.0
WYOMING,2017,28.0
WYOMING,2018,34.0
WYOMING,2019,43.0
WYOMING,2020,26.0
WYOMING,2021,32.0
WYOMING,2022,17.0
WYOMING,2023,30.0
WYOMING,2024,31.0
NEW JERSEY,2000,57.0
NEW JERSEY,2001,45.0
NEW JERSEY,2002,57.0
NEW JERSEY,2003,42.0
NEW JERSEY,2004,47.0
NEW JERSEY,2005,53.0
NEW JERSEY,2006,60.0
NEW JERSEY,2007,51.0
NEW JERSEY,2008,61.0
NEW JERSEY,2009,51.0
NEW JERSEY,2010,49.0
NEW JERSEY,2011,49.0
NEW JERSEY,2012,56.0
NEW JERSEY,2013,54.0
NEW JERSEY,2014,53.0
NEW JERSEY,2015,50.0
NEW JERSEY,2016,64.0
NEW JERSEY,2017,64.0
NEW JERSEY,2018,62.0
NEW JERSEY,2019,66.0
NEW JERSEY,2020,67.0
NEW JERSEY,2021,67.0
NEW JERSEY,2022,70.0
NEW JERSEY,2023,82.0
NEW JERSEY,2024,82.0
OTHER STATES,2000,0.0
OTHER STATES,2001,0.0
OTHER STATES,2002,0.0
OTHER STATES,2003,0.0
OTHER STATES,2004,0.0
OTHER STATES,2005,0.0
OTHER STATES,2006,0.0
OTHER STATES,2007,0.0
OTHER STATES,2008,0.0
OTHER STATES,2009,0.0
OTHER STATES,2010,0.0
OTHER STATES,2011,0.0
OTHER STATES,2012,0.0
OTHER STATES,2013,0.0
OTHER STATES,2014,0.0
OTHER STATES,2015,0.0
OTHER STATES,2016,0.0
OTHER STATES,2017,0.0
OTHER STATES,2018,0.0
OTHER STATES,2019,0.0
OTHER STATES,2020,0.0
OTHER STATES,2021,0.0
OTHER STATES,2022,0.0
OTHER STATES,2023,0.0
OTHER STATES,2024,0.0
ARIZONA,2000,100.0
ARIZONA,2001,100.0
ARIZONA,2002,86.0
ARIZONA,2003,103.0
ARIZONA,2004,90.0
ARIZONA,2005,80.0
ARIZONA,2006,90.0
ARIZONA,2007,90.0
ARIZONA,2008,95.0
ARIZONA,2009,85.0
ARIZONA,2010,70.0
ARIZONA,2011,70.0
ARIZONA,2012,80.0
ARIZONA,2013,80.0
ARIZONA,2014,100.0
ARIZONA,2015,103.0
ARIZONA,2016,95.0
ARIZONA,2017,100.0
ARIZONA,2018,40.0
ARIZONA,2019,40.0
ARIZONA,2020,40.0
ARIZONA,2021,40.0
ARIZONA,2022,40.0
ARIZONA,2023,40.0
ARIZONA,2024,40.0
FLORIDA,2000,49.0
FLORIDA,2001,41.0
FLORIDA,2002,35.0
FLORIDA,2003,41.0
FLORIDA,2004,45.0
FLORIDA,2005,45.0
FLORIDA,2006,42.0
FLORIDA,2007,55.0
FLORIDA,2008,54.0
FLORIDA,2009,44.0
FLORIDA,2010,41.0
FLORIDA,2011,46.0
FLORIDA,2012,42.0
FLORIDA,2013,59.0
FLORIDA,2014,39.0
FLORIDA,2015,43.0
FLORIDA,2016,30.0
FLORIDA,2017,37.0
FLORIDA,2018,36.0
